Date,City,PM2.5,PM10,NO2,SO2,CO,O3,Temperature,Humidity,WindSpeed,Rainfall,AQI,AQI_Category
2024-01-01,Delhi,264.1,498.4,133.0,15.8,5.26,25.3,35.8,31.9,5.5,0.0,498,Severe
2024-01-02,Delhi,248.0,498.6,134.0,14.3,5.74,23.4,34.2,33.6,1.0,0.0,498,Severe
2024-01-03,Delhi,255.0,462.8,132.9,15.6,5.64,26.5,34.8,25.1,3.2,0.0,447,Severe
2024-01-04,Delhi,241.6,491.4,140.2,16.7,5.46,20.6,32.9,36.1,1.8,0.0,488,Severe
2024-01-05,Delhi,266.8,484.6,132.4,15.5,5.45,26.6,32.1,28.3,3.4,0.0,478,Severe
2024-01-06,Delhi,246.3,470.6,128.6,14.7,5.46,34.3,35.5,27.5,3.7,0.0,458,Severe
2024-01-07,Delhi,239.5,465.4,138.2,12.6,5.36,23.9,33.8,36.6,5.1,0.0,451,Severe
2024-01-08,Delhi,281.2,481.4,135.3,15.7,5.69,24.7,33.2,31.9,1.0,0.0,473,Severe
2024-01-09,Delhi,262.0,453.2,130.7,15.9,5.08,23.4,32.7,33.8,4.6,0.0,433,Severe
2024-01-10,Delhi,247.7,455.3,132.7,17.1,5.61,24.7,33.6,31.2,4.0,0.0,436,Severe
2024-01-11,Delhi,262.5,496.1,150.2,16.2,5.61,23.3,33.4,30.6,1.0,0.0,494,Severe
2024-01-12,Delhi,262.9,427.5,132.3,19.8,5.05,16.0,31.0,36.6,6.0,0.0,405,Severe
2024-01-13,Delhi,262.3,469.9,145.4,15.3,5.49,26.6,32.7,28.3,1.4,0.0,457,Severe
2024-01-14,Delhi,244.2,472.2,122.0,14.5,5.18,19.8,30.5,31.8,7.2,0.0,460,Severe
2024-01-15,Delhi,257.9,487.0,131.8,19.3,5.47,15.8,32.5,32.3,3.2,0.0,481,Severe
2024-01-16,Delhi,256.6,469.8,133.1,19.3,5.14,19.4,32.9,25.6,6.2,0.0,457,Severe
2024-01-17,Delhi,254.7,471.5,139.1,16.1,5.69,21.6,30.3,26.3,4.5,0.0,459,Severe
2024-01-18,Delhi,243.3,480.5,132.4,16.4,5.09,10.7,30.1,25.0,5.7,9.2,472,Severe
2024-01-19,Delhi,232.0,445.3,131.9,16.6,5.08,19.9,30.5,34.5,5.2,3.6,422,Severe
2024-01-20,Delhi,248.2,467.1,130.2,22.3,5.2,25.9,31.8,35.6,6.9,0.0,453,Severe
2024-01-21,Delhi,260.8,461.0,133.3,20.0,5.05,24.5,32.2,33.4,4.2,0.0,444,Severe
2024-01-22,Delhi,231.6,469.5,124.2,16.8,5.11,11.1,28.1,27.8,7.1,0.0,456,Severe
2024-01-23,Delhi,264.6,474.5,138.3,17.2,5.68,17.3,33.5,33.2,1.0,0.0,464,Severe
2024-01-24,Delhi,236.4,497.3,143.2,18.0,5.13,14.5,29.5,27.7,3.7,0.0,496,Severe
2024-01-25,Delhi,254.2,382.1,124.7,16.1,4.99,29.0,31.7,26.5,5.9,0.0,402,Severe
2024-01-26,Delhi,260.9,463.5,125.9,17.2,5.24,10.1,27.4,27.8,5.3,0.0,448,Severe
